run_label,phase,model_id,model_key,family,benchmark,decoding_key,requested_n,temperature,early_stop,observed_best_of_n,mean_tokens_until_success_or_budget
layer12_random_direction_alpha0p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.65
layer12_random_direction_alpha0p5,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.65,112.25
layer12_random_direction_alpha1p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.65,112.25
layer16_correctness_direction_alpha0p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.65
layer16_correctness_direction_alpha0p5,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,110.55
layer16_correctness_direction_alpha1p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,110.65
layer16_negative_correctness_direction_alpha0p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.65
layer16_negative_correctness_direction_alpha0p5,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.65
layer16_negative_correctness_direction_alpha1p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.65,111.65
layer16_random_direction_alpha0p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.65
layer16_random_direction_alpha0p5,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.65,112.25
layer16_random_direction_alpha1p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.65,112.7
layer8_correctness_direction_alpha0p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.65
layer8_correctness_direction_alpha0p5,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.35
layer8_correctness_direction_alpha1p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,106.95
layer8_negative_correctness_direction_alpha0p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.65
layer8_negative_correctness_direction_alpha0p5,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.5
layer8_negative_correctness_direction_alpha1p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.75,98.95
layer8_random_direction_alpha0p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.65
layer8_random_direction_alpha0p5,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.55
layer8_random_direction_alpha1p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.75,110.2
difficulty_adaptive_maxn5,phase5,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,5.0,0.8,,0.8333333333333334,134.3
fixed_n_1_maxn5,phase5,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,5.0,0.8,,0.5666666666666667,54.56666666666667
fixed_n_5_maxn5,phase5,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,5.0,0.8,,0.8333333333333334,134.3
latent_adaptive_maxn5,phase5,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,5.0,0.8,,0.8333333333333334,134.3
verifier_early_stop_maxn5,phase5,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,5.0,0.8,,0.8333333333333334,134.3
deepseek-coder-1.3b-instruct__greedy_n1__he_offset0_limit20__seed1234__tok256,model_matrix,deepseek-ai/deepseek-coder-1.3b-instruct,deepseek-coder-1.3b-instruct,DeepSeek-Coder,humaneval,greedy_n1,1.0,0.0,False,0.95,165.4
deepseek-coder-1.3b-instruct__sample_n5__he_offset0_limit20__seed1234__tok256,model_matrix,deepseek-ai/deepseek-coder-1.3b-instruct,deepseek-coder-1.3b-instruct,DeepSeek-Coder,humaneval,sample_n5,5.0,0.8,False,1.0,202.95
deepseek-coder-1.3b-instruct__sample_n5_early_stop__he_offset0_limit20__seed1234__tok256,model_matrix,deepseek-ai/deepseek-coder-1.3b-instruct,deepseek-coder-1.3b-instruct,DeepSeek-Coder,humaneval,sample_n5_early_stop,5.0,0.8,True,1.0,202.95
qwen2.5-coder-0.5b-instruct__greedy_n1__he_offset0_limit20__seed1234__tok256,model_matrix,Qwen/Qwen2.5-Coder-0.5B-Instruct,qwen2.5-coder-0.5b-instruct,Qwen2.5-Coder,humaneval,greedy_n1,1.0,0.0,False,0.8,151.55
qwen2.5-coder-0.5b-instruct__greedy_n1__he_offset0_limit2__seed1234__tok256,model_matrix,Qwen/Qwen2.5-Coder-0.5B-Instruct,qwen2.5-coder-0.5b-instruct,Qwen2.5-Coder,humaneval,greedy_n1,1.0,0.0,False,1.0,183.0
qwen2.5-coder-0.5b-instruct__sample_n5__he_offset0_limit20__seed1234__tok256,model_matrix,Qwen/Qwen2.5-Coder-0.5B-Instruct,qwen2.5-coder-0.5b-instruct,Qwen2.5-Coder,humaneval,sample_n5,5.0,0.8,False,0.85,308.8
qwen2.5-coder-0.5b-instruct__sample_n5__he_offset0_limit2__seed1234__tok256,model_matrix,Qwen/Qwen2.5-Coder-0.5B-Instruct,qwen2.5-coder-0.5b-instruct,Qwen2.5-Coder,humaneval,sample_n5,5.0,0.8,False,1.0,183.0
qwen2.5-coder-0.5b-instruct__sample_n5_early_stop__he_offset0_limit20__seed1234__tok256,model_matrix,Qwen/Qwen2.5-Coder-0.5B-Instruct,qwen2.5-coder-0.5b-instruct,Qwen2.5-Coder,humaneval,sample_n5_early_stop,5.0,0.8,True,0.85,308.8
qwen2.5-coder-1.5b-instruct__greedy_n1__he_offset0_limit20__seed1234__tok256,model_matrix,Qwen/Qwen2.5-Coder-1.5B-Instruct,qwen2.5-coder-1.5b-instruct,Qwen2.5-Coder,humaneval,greedy_n1,1.0,0.0,False,0.75,58.25
qwen2.5-coder-1.5b-instruct__sample_n5__he_offset0_limit20__seed1234__tok256,model_matrix,Qwen/Qwen2.5-Coder-1.5B-Instruct,qwen2.5-coder-1.5b-instruct,Qwen2.5-Coder,humaneval,sample_n5,5.0,0.8,False,0.85,153.25
qwen2.5-coder-1.5b-instruct__sample_n5_early_stop__he_offset0_limit20__seed1234__tok256,model_matrix,Qwen/Qwen2.5-Coder-1.5B-Instruct,qwen2.5-coder-1.5b-instruct,Qwen2.5-Coder,humaneval,sample_n5_early_stop,5.0,0.8,True,0.85,153.25
